# COSMOS-Web Stellar Mass Function Results
# Redshift range: 0.2 < z ≤ 0.5
# Survey area: 0.54 deg²
# Number of galaxies: 6394
# Comoving volume: 3.40e+05 Mpc³
#
# Columns: log_mass  number_density  uncertainty
# Units: [log M/M_sun]  [Mpc^-3 dex^-1]  [Mpc^-3 dex^-1]
8.125  0.000000e+00  0.000000e+00
8.375  0.000000e+00  0.000000e+00
8.625  4.736356e-03  2.362280e-04
8.875  1.640052e-02  4.395800e-04
9.125  1.241821e-02  3.825063e-04
9.375  9.908646e-03  3.416774e-04
9.625  7.057407e-03  2.883578e-04
9.875  5.867427e-03  2.629257e-04
10.125  5.537531e-03  2.554273e-04
10.375  4.889522e-03  2.400172e-04
10.625  4.524281e-03  2.308787e-04
10.875  2.497780e-03  1.715482e-04
11.125  1.213544e-03  1.195740e-04
11.375  2.474216e-04  5.399182e-05
11.625  3.534594e-05  2.040699e-05
11.875  0.000000e+00  0.000000e+00
12.125  0.000000e+00  0.000000e+00
12.375  0.000000e+00  0.000000e+00
